"ac_id","ac_text","ac_type","annotator","timestamp"
"1","Suelos sin colillas","major claim","andres.segura","2023-03-29 11:15:04"
"2","Tenemos registro de huellas dactilares, así que se puede identificar a muchas personas que tiran colillas.","claim","andres.segura","2023-03-29 11:15:04"
"3","La multa y propaganda dejarán las calles y carreteras sin colillas.","premise","andres.segura","2023-03-29 11:15:04"
"4","Sabes que los fumadores que tiran colillas al suelo pueden ser identificados por su huella dactilar y luego confirmado con prueba de ADN.","claim","andres.segura","2023-03-29 11:15:04"
"5","Es un sistema muy caro.","claim","andres.segura","2023-03-29 11:15:04"
"6","No le veo viabilidad económica en este momento.","premise","andres.segura","2023-03-29 11:15:04"
"7","¿Sistema caro? Mejor, que lo va a pagar el que ha tirado la colilla.","claim","andres.segura","2023-03-29 11:15:04"
"8","Piense que habría que realizar un test de adn para tener una base de datos de contraste.","claim","andres.segura","2023-03-29 11:15:04"
"9","Primero, un test a los habitantes de Madrid.","premise","andres.segura","2023-03-29 11:15:04"
"10","Súmele esto, a los habitantes de la Comunidad de Madrid de vez en cuando vendrá algún fumador a la ciudad ¿no?.","premise","andres.segura","2023-03-29 11:15:04"
"11","gualmente, habría que hacer un test a todos los habitantes del país puede que algún día venga de turismo algún ciudadano de otra Comunidad Autónoma y por último del mundo.","premise","andres.segura","2023-03-29 11:15:04"
"12","El sistema es caro, ya que primero requiere la base de datos de contraste algo inexistente en la actualidad y luego cada test requiere una suma elevada.","claim","andres.segura","2023-03-29 11:15:04"
"13","A día de hoy, lo veo un sistema poco viable.","premise","andres.segura","2023-03-29 11:15:04"
"14","Amos por pasos: Tenemos la colilla y se puede intentar sacar huella dactilar.","claim","andres.segura","2023-03-29 11:15:04"
"15","De obenerse una huella válida, se compara con ficheros existentes, por ejemplo del DNI De aquí ya tenemos al individuo y sus señas.","premise","andres.segura","2023-03-29 11:15:04"
"16","Se le cita y se le saca ADN Se compara y. Si coincide: multa y cobro de gastos.","premise","andres.segura","2023-03-29 11:15:04"
"17","as huellas dactilares que se sacan de los ficheros del Ministerio de Interior por ejemplo, las que tienen a través de los registros dactilares del DNI no pueden ser usadas para identificar a posibles delincuentes.","claim","andres.segura","2023-03-29 11:15:04"
"18","Se estaría pisoteando el derecho de presunción de inocencia hay varios artículos que tratan sobre este tema, y le recomiendo que se los lea tranquilamente","premise","andres.segura","2023-03-29 11:15:04"
"19","Por ello, no es constitucionalmente viable el sistema que me ha indicado anteriormente.","premise","andres.segura","2023-03-29 11:15:04"
"20","Vale, pero seguimos igual o intentamos hacer cambios Además ¿con una colilla con huellas, donde está la presunción de inocencia o nos buscamos soluciones o más vale olvidarnos y seguir siendo una ciudad sucia, pueblerina y atrasada ci cívicamente.","claim","andres.segura","2023-03-29 11:15:04"
"21","Puedo sentarme en el suelo por por razón, tocar alguna colilla que yo no haya tirado en el suelo, y ya la hemos liado.","claim","andres.segura","2023-03-29 11:15:04"
"22","La administración presumiría que yo fuí la persona que tiró la colilla al suelo pese a no ser fumador","premise","andres.segura","2023-03-29 11:15:04"
"23","Igualmente, hay gente que en invierno fuma con guantes, y no quedarían huellas en el cigarro.","premise","andres.segura","2023-03-29 11:15:04"
"24","Sinceramente, creo que sería mejor solución el fomento de la educación cívica.","premise","andres.segura","2023-03-29 11:15:04"
"25","Cada ciudadano debe respetar a la ciudad, y hacerla respetar.","claim","andres.segura","2023-03-29 11:15:04"
"26","Estoy totalmente de acuerdo con ABG La única solución pasa por la educación cívica.","claim","andres.segura","2023-03-29 11:15:04"
"27","Moraleja: Para qué te crees que los humanos han inventado las multas y sanciones? Te lo diré: para convencer cuando falla la educación.","claim","andres.segura","2023-03-29 11:15:04"
"28","No tiene mucha lógica tu historia.","claim","andres.segura","2023-03-29 11:15:04"
"29","Y por qué tenía que ser lógico? Ha sido realizado por humanos y te lo pongo de ejemplo de que únicamente la educación y el conocimiento no son suficiente en algunos casos, y que el predica, no lo practica luego cuando le parece.","claim","andres.segura","2023-03-29 11:15:04"
"30","El cerdo que tira las colillas al suelo, sabe que tenemos un sistema de limpieza pública que se ocupará de recoger la mierda que no se molestará en tirar a la basura.","claim","andres.segura","2023-03-29 11:15:04"
"31","Lo triste de ello, es que se delega en estos servicios de limpieza, una acción que podríamos hacer nosotros mismos a coste 0","premise","andres.segura","2023-03-29 11:15:04"
"32","Será por el sistema educativo, o por la educación aportada por las familias; pero la gente es más respetuosa.","claim","andres.segura","2023-03-29 11:15:04"
"33","Igualmente, he visto situaciones similares en Madrid, y me alegró mucho ese compromiso hacia la ciudad.","premise","andres.segura","2023-03-29 11:15:04"
"34","Creo que cada ciudadano puede ayudar a construir una ciudad mucho mejor, y podemos actuar para corregir acciones incívicas.","claim","andres.segura","2023-03-29 11:15:04"
"35","Cuando se tira una colilla al suelo lo hacemos por costumbre y si pensar lo que hacemos, ya que tenemos la mente ocupada en otras cosas.","claim","andres.segura","2023-03-29 11:15:04"
"36","Y sabemos que está feo, pero prevalece la costumbre.","premise","andres.segura","2023-03-29 11:15:04"
"37","Tampoco estamos acostumbrados a que nos afeen la conducta, así que reaccionamos agresivamente.","claim","andres.segura","2023-03-29 11:15:04"
"38","Y aquí puede influir el ayuntamiento ampliando la actual campaña propagandística emprendida de mantener el suelo limpio con el tema de las colillas.","premise","andres.segura","2023-03-29 11:15:04"
"39","Pero en este país no estamos acostumbrados a que nos pidan colaboración pero sí a que haya prohibiciones de todo tipo, así que no hacemos caso, y para esto y para ciertas personas olvidadizas hay que animarlas a animarse al grupo de los buenos ciudadanos cumplidores con un poco de tocarles el bolsillo, que es efectivo.","premise","andres.segura","2023-03-29 11:15:04"
"40","Aunque siempre quedará una minoría, pero sería ya insignificante.","premise","andres.segura","2023-03-29 11:15:04"
"41","Para conseguir suelos sin colillas habría que empezar por poner ceniceros por todas partes.","claim","andres.segura","2023-03-29 11:15:04"
"42","Además podríamos exigir la entrega de dos fotocopias compulsadas del DNI cada vez que se compre una cajetilla de tabaco, llamar al 112 cada vez que alguien te pida fuego, que los policías vayan de paisano diciendo: perdona ¿tienes un piti? y que el Centro Nacional de Inteligencia implante microcámaras en los ojos de las palomas para que esos malditos fumadores no se escapen! Democracia Real ya.","claim","andres.segura","2023-03-29 11:15:04"
"43","No te parece mejor, en vez de pedir tantas cosas que indicas, practicar la Limpieza Real ya En qué lugar quieres vivir.","claim","andres.segura","2023-03-29 11:15:04"
