"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"2","4","5","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"3","6","7","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"4","9","10","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"5","11","12","cause: reason","support","andres.segura","2022-12-15 20:13:15"
"6","13","14","contrast: opposition","attack","andres.segura","2022-12-15 20:13:15"
"7","16","17","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"8","18","19","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"9","20","21","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"10","20","22","contrast: opposition","attack","andres.segura","2022-12-15 20:13:15"
"11","20","23","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"12","25","26","cause: reason","support","andres.segura","2022-12-15 20:13:15"
"13","33","34","elaboration: precision","support","andres.segura","2022-12-15 20:13:15"
"14","38","39","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"15","43","44","cause: reason","support","andres.segura","2022-12-15 20:13:15"
"16","45","46","cause: condition","support","andres.segura","2022-12-15 20:13:15"
"17","46","47","contrast: opposition","attack","andres.segura","2022-12-15 20:13:15"
"18","47","48","clarification: restatement","support","andres.segura","2022-12-15 20:13:15"
"19","48","49","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
"20","50","51","elaboration: addition","support","andres.segura","2022-12-15 20:13:15"
