"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","3","4","cause: reason","support","andres.segura","2023-01-20 18:55:08"
"2","5","6","cause: condition","support","andres.segura","2023-01-20 18:55:08"
"3","5","7","consequence: result","support","andres.segura","2023-01-20 18:55:08"
"4","5","8","elaboration: precision","support","andres.segura","2023-01-20 18:55:08"
"5","9","10","contrast: opposition","attack","andres.segura","2023-01-20 18:55:08"
"6","9","11","contrast: opposition","attack","andres.segura","2023-01-20 18:55:08"
"7","12","13","elaboration: addition","support","andres.segura","2023-01-20 18:55:08"
"8","13","14","elaboration: precision","support","andres.segura","2023-01-20 18:55:08"
"9","15","16","clarification: restatement","support","andres.segura","2023-01-20 18:55:08"
"10","21","22","elaboration: precision","support","andres.segura","2023-01-20 18:55:08"
"11","23","24","elaboration: addition","support","andres.segura","2023-01-20 18:55:08"
"12","25","26","consequence: explanation","support","andres.segura","2023-01-20 18:55:08"
"13","25","27","consequence: explanation","support","andres.segura","2023-01-20 18:55:08"
"14","30","31","contrast: concession","attack","andres.segura","2023-01-20 18:55:08"
