"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","4","5","elaboration: precision","support","andres.segura","2023-03-23 22:49:20"
"2","5","6","clarification: summary","support","andres.segura","2023-03-23 22:49:20"
"3","7","8","consequence: goal","support","andres.segura","2023-03-23 22:49:20"
"4","8","9","contrast: concession","attack","andres.segura","2023-03-23 22:49:20"
"5","9","10","cause: reason","support","andres.segura","2023-03-23 22:49:20"
"6","12","13","elaboration: precision","support","andres.segura","2023-03-23 22:49:20"
"7","12","14","contrast: opposition","attack","andres.segura","2023-03-23 22:49:20"
"8","16","17","contrast: opposition","attack","andres.segura","2023-03-23 22:49:20"
"9","18","19","consequence: explanation","support","andres.segura","2023-03-23 22:49:20"
"10","20","21","contrast: concession","attack","andres.segura","2023-03-23 22:49:20"
"11","22","23","elaboration: addition","support","andres.segura","2023-03-23 22:49:20"
"12","24","25","elaboration: addition","support","andres.segura","2023-03-23 22:49:20"
"13","24","26","contrast: comparison","support","andres.segura","2023-03-23 22:49:20"
"14","28","29","contrast: opposition","attack","andres.segura","2023-03-23 22:49:20"
"15","28","30","clarification: exemplification","support","andres.segura","2023-03-23 22:49:20"
"16","34","35","consequence: result","support","andres.segura","2023-03-23 22:49:20"
"17","34","36","contrast: concession","attack","andres.segura","2023-03-23 22:49:20"
"18","37","38","consequence: explanation","support","andres.segura","2023-03-23 22:49:20"
"19","40","42","clarification: exemplification","support","andres.segura","2023-03-23 22:49:20"
"20","40","43","clarification: conclusion","support","andres.segura","2023-03-23 22:49:20"
"21","44","45","consequence: explanation","support","andres.segura","2023-03-23 22:49:20"
