"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","3","4","contrast: comparison","support","andres.segura","2023-03-23 21:23:42"
"2","4","5","elaboration: precision","support","andres.segura","2023-03-23 21:23:42"
"3","6","7","clarification: conclusion","support","andres.segura","2023-03-23 21:23:42"
"4","8","9","elaboration: addition","support","andres.segura","2023-03-23 21:23:42"
"5","11","12","cause: condition","support","andres.segura","2023-03-23 21:23:42"
"6","13","14","clarification: conclusion","support","andres.segura","2023-03-23 21:23:42"
"7","16","17","contrast: opposition","attack","andres.segura","2023-03-23 21:23:42"
"8","23","24","consequence: result","support","andres.segura","2023-03-23 21:23:42"
"9","27","28","elaboration: precision","support","andres.segura","2023-03-23 21:23:42"
"10","31","32","cause: condition","support","andres.segura","2023-03-23 21:23:42"
"11","31","33","consequence: result","support","andres.segura","2023-03-23 21:23:42"
"12","31","34","clarification: summary","support","andres.segura","2023-03-23 21:23:42"
"13","36","37","clarification: exemplification","support","andres.segura","2023-03-23 21:23:42"
"14","39","40","elaboration: similarity","support","andres.segura","2023-03-23 21:23:42"
