"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","4","5","elaboration: precision","support","andres.segura","2023-03-23 20:18:56"
"2","5","6","clarification: exemplification","support","andres.segura","2023-03-23 20:18:56"
"3","4","7","elaboration: precision","support","andres.segura","2023-03-23 20:18:56"
"4","9","10","elaboration: addition","support","andres.segura","2023-03-23 20:18:56"
"5","13","14","consequence: explanation","support","andres.segura","2023-03-23 20:18:56"
"6","15","16","clarification: exemplification","support","andres.segura","2023-03-23 20:18:56"
"7","18","19","consequence: result","support","andres.segura","2023-03-23 20:18:56"
"8","18","20","consequence: explanation","support","andres.segura","2023-03-23 20:18:56"
"9","21","22","contrast: concession","attack","andres.segura","2023-03-23 20:18:56"
"10","23","24","elaboration: addition","support","andres.segura","2023-03-23 20:18:56"
"11","27","29","elaboration: addition","support","andres.segura","2023-03-23 20:18:56"
"12","27","30","elaboration: addition","support","andres.segura","2023-03-23 20:18:56"
"13","32","33","contrast: opposition","attack","andres.segura","2023-03-23 20:18:56"
"14","34","35","contrast: opposition","attack","andres.segura","2023-03-23 20:18:56"
"15","36","37","consequence: explanation","support","andres.segura","2023-03-23 20:18:56"
