"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","7","8","contrast: concession","attack","andres.segura","2023-03-17 16:39:40"
"2","9","10","elaboration: precision","support","andres.segura","2023-03-17 16:39:40"
"3","11","12","contrast: opposition","support","andres.segura","2023-03-17 16:39:40"
"4","13","14","contrast: alternative","support","andres.segura","2023-03-17 16:39:40"
"5","15","16","consequence: result","support","andres.segura","2023-03-17 16:39:40"
"6","16","17","elaboration: addition","support","andres.segura","2023-03-17 16:39:40"
"7","18","19","contrast: opposition","attack","andres.segura","2023-03-17 16:39:40"
"8","21","22","cause: reason","support","andres.segura","2023-03-17 16:39:40"
"9","24","25","cause: reason","support","andres.segura","2023-03-17 16:39:40"
"10","27","28","elaboration: addition","support","andres.segura","2023-03-17 16:39:40"
"11","29","30","consequence: result","support","andres.segura","2023-03-17 16:39:40"
"12","35","36","contrast: opposition","attack","andres.segura","2023-03-17 16:39:40"
