"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","cause: reason","support","andres.segura","2023-01-09 21:19:16"
"2","6","7","contrast: alternative","support","andres.segura","2023-01-09 21:19:16"
"3","7","8","clarification: exemplification","support","andres.segura","2023-01-09 21:19:16"
"4","7","9","clarification: exemplification","support","andres.segura","2023-01-09 21:19:16"
"5","10","11","elaboration: precision","support","andres.segura","2023-01-09 21:19:16"
"6","13","14","cause: reason","support","andres.segura","2023-01-09 21:19:16"
"7","13","15","clarification: exemplification","support","andres.segura","2023-01-09 21:19:16"
"8","17","18","contrast: opposition","attack","andres.segura","2023-01-09 21:19:16"
"9","19","20","cause: reason","support","andres.segura","2023-01-09 21:19:16"
"10","20","21","contrast: concession","attack","andres.segura","2023-01-09 21:19:16"
"11","24","25","cause: reason","support","andres.segura","2023-01-09 21:19:16"
