"ac_id","ac_text","ac_type","annotator","timestamp"
"1","Crear carriles bicicleta con separación de los demás vehículos","major claim","andres.segura","2023-03-29 11:31:35"
"2","Crear carriles bicicletas independientes, con separación de los demás vehículos y aparcamientos propios,","claim","andres.segura","2023-03-29 11:31:35"
"3","como en otros países Europeos.","premise","andres.segura","2023-03-29 11:31:35"
"4","Totalmente de acuerdo, el carril bicicleta se ha convertido en pista de atletismo, carril carrito de niño, carril transeúntes, carril juvenil de chiquillos.","claim","andres.segura","2023-03-29 11:31:35"
"5","Creo que ya hay como 100 propuestas de este tipo.","claim","andres.segura","2023-03-29 11:31:35"
"6","No estaría ed más usar el buscador.","premise","andres.segura","2023-03-29 11:31:35"
"7","Ya da pereza intentar discutir sobre alguna de ellas.","premise","andres.segura","2023-03-29 11:31:35"
"8","Para todos aquellos que usan la bicicleta los domingos pares de cada mes, siempre que los niveles de contaminación sean 40 mg/m3, no sea época ni de mucho frío ni de mucho calor, ni época de caída de hojas, ni época primaveral en pleno florecimiento, son muy útiles los carriles bicicleta.","claim","andres.segura","2023-03-29 11:31:35"
"9","Tiene que haber carril bicicleta pero no incorporado en las aceras como el que va por odonel que van mezclados peatones y ciclistas.","claim","andres.segura","2023-03-29 11:31:35"
"10","Claro, al principio es un carril para todo, porque falta cultura de carril bicicleta.","claim","andres.segura","2023-03-29 11:31:35"
"11","Y no me refiero a que la gente no sea culta sino a que todavía no estamos acostumbrados a convivir en el día a día con ese elemento extraño en nuestra ciudad.","premise","andres.segura","2023-03-29 11:31:35"
"12","En mi opinión, para darle el definitivo empujón a la relación Madrid&Bici, es necesaria una importante inversión inicial que incluya un mínimo e importante número km de carril bien señalizados y diferenciados del resto de carriles, que unieran lugares importantes y emblemáticos del centro de la ciudad y que tuvieran muy en cuenta, además para la incorporación a los mismos, estos puntos estratégicos como aparcamientos disuasorios, estaciones de tren etc.","claim","andres.segura","2023-03-29 11:31:35"
"13","Donde sea posible hacerse con una bicicleta de alquiler.","premise","andres.segura","2023-03-29 11:31:35"
"14","Y por supuesto, que su alquiler esté incluido dentro del bono transporte, como ya alguien ha propuesto por ahí.","claim","andres.segura","2023-03-29 11:31:35"
"15","Con el tiempo solo se tratará de ampliar con criterio, y afrontar pequeños inconvenientes que tiene la ciudad como las cuestas.","premise","andres.segura","2023-03-29 11:31:35"
"16","El separar los carriles no es garantía ningúna de seguridad, sino más bien el acostumbrar a los coches a darse cuenta de que no son los dueños de la calle.","claim","andres.segura","2023-03-29 11:31:35"
"17","Es muy lógico pedir que se invierta un dinero que no hay en carriles bicicletas por delante de muchas otras cosas, tonterías como sanidad limpieza ayudas sociales y sería perfecto en el centro de Madrid tener dicho carril bicicleta eliminando un carril de coches ya que los atascos no son un problema acuciante Seguro que todo el mundo cambia el coche por la bicicleta No?.","claim","andres.segura","2023-03-29 11:31:35"
"18","Antes que gastar pasta en mejoras para los ciclistas haría otras mejoras sociales más urgentes.","claim","andres.segura","2023-03-29 11:31:35"
"19","Y por cierto, lo que tienen que hacer es implantar un carnet de ciclista,","claim","andres.segura","2023-03-29 11:31:35"
"20","por que estoy hasta las narices de ver como se saltan todos los semáforos incluso mientras estamos cruzando los peatones.","premise","andres.segura","2023-03-29 11:31:35"
"21","Estoy contigo, algunos ciclistas van a su aire sin tener en cuenta ni coches ni peatones.","claim","andres.segura","2023-03-29 11:31:35"
"22","Debería haber guardias para multarlos en lugar de tanto agente de movilidad o vigilantes de tiket de la hora.","premise","andres.segura","2023-03-29 11:31:35"
"23","Siempre acaban pagando los peatones y beneficiado los coches.","claim","andres.segura","2023-03-29 11:31:35"
"24","La propuesta es interesante pero me temo que nos estamos olvidando de temas que son prioritarios para la vida de muchas familias sin recursos que no pueden alimentar a sus hijos.","claim","andres.segura","2023-03-29 11:31:35"
"25","Os recuerdo que España es el país de la OCDE donde más avanzó la desigualdad durante la crisis.","premise","andres.segura","2023-03-29 11:31:35"
"26","La desigualdad en España avanza a un ritmo que supera hasta 14 veces a Grecia.","premise","andres.segura","2023-03-29 11:31:35"
"27","El que quiera ir por la Calzada, Por esperar que a un conductor respete y tenga paciencia al paso que va el ciclista uffff van a pasar más de 50 años.","claim","andres.segura","2023-03-29 11:31:35"
"28","Si el carril bicicleta está segregado también tiene sus desventajas.","claim","andres.segura","2023-03-29 11:31:35"
"29","Calramente hay dos posturas a reconciliar, el carrilbicismo, favorable a la instalación de infraestructuras segregadas y por otro lado el calzadismo, que apuesta por la coexistencia de las bicicletas con el resto del tráfico rodado en todo momento.","claim","andres.segura","2023-03-29 11:31:35"
"30","Los carriles bicicleta segregados no son baratos, es quitarle estorbos al coche y si el diseño no está muy bien cuidado e integrado es sólo para bicicleta de ocio, no sirve como vía real para dar movilidad del día a día.","premise","andres.segura","2023-03-29 11:31:35"
"31","Cuidado con las propuestas bienintencionadas pero poco definidas.","claim","andres.segura","2023-03-29 11:31:35"
"32","No es una buena decisión, en mi opinión,","claim","andres.segura","2023-03-29 11:31:35"
"33","porque la demanda es baja, la frecuencia también habría de serlo, la inseguridad aumenta por esos motivos, y el incremento de gasto es muy importante efectos en el control de accesos, trenes y mantenimiento de la red sería mucho más barata una red equivalente de autobuses en superficie además de proporcionar mayor calidad ya que la velocidad de circulación a esas horas es similar o superior a la del Metro, las unidades de transporte son menores y la oferta sería con mayor frecuencia, se ahorraría tiempo en bajar y subir al/de las estaciones de Metro, y la inseguridad en superficie sería menor que en los túneles de la red subterránea.","premise","andres.segura","2023-03-29 11:31:35"
"34","Esta solución sería lógica también para una red nocturna de transporte disminuyendo el horario de servicio de Metro.","premise","andres.segura","2023-03-29 11:31:35"
"35","Sinceramente ahora mismo circular en bicicleta por la calzada en el centro de Madrid es jugarte el tipo y algo realmente peligroso.","claim","andres.segura","2023-03-29 11:31:35"
"36","Si hubiera seguridad para los usuarios de bicicletas mucha más gente la usaría como transporte habitual.","premise","andres.segura","2023-03-29 11:31:35"
"37","Es una ciudad estupenda para trasladarse en bicicleta.","claim","andres.segura","2023-03-29 11:31:35"
"38","Tenemos muchos meses de buen clima para su uso si lo compáramos con el resto de Europa donde se mueven sobre calles nevadas.","premise","andres.segura","2023-03-29 11:31:35"
