"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","4","5","elaboration: precision","support","andres.segura","2023-03-29 12:22:39"
"2","8","9","contrast: opposition","attack","andres.segura","2023-03-29 12:22:39"
"3","10","11","contrast: opposition","attack","andres.segura","2023-03-29 12:22:39"
"4","13","14","contrast: concession","attack","andres.segura","2023-03-29 12:22:39"
"5","16","17","cause: reason","support","andres.segura","2023-03-29 12:22:39"
"6","16","18","elaboration: addition","support","andres.segura","2023-03-29 12:22:39"
"7","24","25","contrast: concession","support","andres.segura","2023-03-29 12:22:39"
"8","26","27","contrast: opposition","attack","andres.segura","2023-03-29 12:22:39"
"9","28","29","cause: reason","support","andres.segura","2023-03-29 12:22:39"
"10","30","31","clarification: summary","support","andres.segura","2023-03-29 12:22:39"
"11","32","33","elaboration: addition","support","andres.segura","2023-03-29 12:22:39"
"12","36","37","cause: reason","support","andres.segura","2023-03-29 12:22:39"
"13","41","42","cause: condition","support","andres.segura","2023-03-29 12:22:39"
"14","43","44","consequence: result","support","andres.segura","2023-03-29 12:22:39"
