"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","3","4","consequence: result","support","andres.segura","2023-03-23 21:06:19"
"2","5","6","contrast: opposition","attack","andres.segura","2023-03-23 21:06:19"
"3","8","9","clarification: restatement","support","andres.segura","2023-03-23 21:06:19"
"4","10","11","consequence: explanation","support","andres.segura","2023-03-23 21:06:19"
"5","14","15","contrast: opposition","attack","andres.segura","2023-03-23 21:06:19"
"6","16","17","clarification: exemplification","support","andres.segura","2023-03-23 21:06:19"
"7","18","19","contrast: opposition","attack","andres.segura","2023-03-23 21:06:19"
"8","23","24","elaboration: addition","support","andres.segura","2023-03-23 21:06:19"
"9","23","25","clarification: conclusion","support","andres.segura","2023-03-23 21:06:19"
"10","26","27","contrast: opposition","attack","andres.segura","2023-03-23 21:06:19"
"11","29","28","cause: reason","support","andres.segura","2023-03-23 21:06:19"
"12","31","32","elaboration: addition","support","andres.segura","2023-03-23 21:06:19"
"13","31","33","clarification: restatement","support","andres.segura","2023-03-23 21:06:19"
"14","31","34","elaboration: addition","support","andres.segura","2023-03-23 21:06:19"
"15","34","35","contrast: concession","attack","andres.segura","2023-03-23 21:06:19"
"16","31","36","contrast: alternative","support","andres.segura","2023-03-23 21:06:19"
"17","36","37","clarification: conclusion","support","andres.segura","2023-03-23 21:06:19"
