"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","consequence: goal","support","andres.segura","2023-01-19 23:59:06"
"2","5","6","cause: reason","support","andres.segura","2023-01-19 23:59:06"
"3","6","7","elaboration: addition","support","andres.segura","2023-01-19 23:59:06"
"4","9","10","clarification: summary","support","andres.segura","2023-01-19 23:59:06"
"5","11","12","contrast: opposition","attack","andres.segura","2023-01-19 23:59:06"
"6","14","15","elaboration: addition","support","andres.segura","2023-01-19 23:59:06"
"7","14","16","contrast: concession","attack","andres.segura","2023-01-19 23:59:06"
"8","17","18","cause: reason","support","andres.segura","2023-01-19 23:59:06"
"9","19","20","consequence: explanation","support","andres.segura","2023-01-19 23:59:06"
"10","20","21","elaboration: precision","support","andres.segura","2023-01-19 23:59:06"
"11","22","23","contrast: opposition","attack","andres.segura","2023-01-19 23:59:06"
"12","24","25","clarification: restatement","support","andres.segura","2023-01-19 23:59:06"
"13","24","26","clarification: conclusion","support","andres.segura","2023-01-19 23:59:06"
"14","30","31","contrast: concession","attack","andres.segura","2023-01-19 23:59:06"
"15","33","34","consequence: result","support","andres.segura","2023-01-19 23:59:06"
"16","35","36","elaboration: precision","support","andres.segura","2023-01-19 23:59:06"
