"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","elaboration: addition","support","andres.segura","2023-03-09 19:20:03"
"2","2","4","cause: reason","support","andres.segura","2023-03-09 19:20:03"
"3","2","5","elaboration: precision","support","andres.segura","2023-03-09 19:20:03"
"4","2","6","elaboration: precision","support","andres.segura","2023-03-09 19:20:03"
"5","9","10","contrast: opposition","attack","andres.segura","2023-03-09 19:20:03"
"6","10","11","cause: reason","support","andres.segura","2023-03-09 19:20:03"
"7","11","12","clarification: restatement","support","andres.segura","2023-03-09 19:20:03"
"8","13","14","consequence: explanation","support","andres.segura","2023-03-09 19:20:03"
"9","14","15","elaboration: precision","support","andres.segura","2023-03-09 19:20:03"
"10","16","17","consequence: explanation","support","andres.segura","2023-03-09 19:20:03"
"11","16","18","elaboration: addition","support","andres.segura","2023-03-09 19:20:03"
"12","16","19","consequence: result","support","andres.segura","2023-03-09 19:20:03"
"13","16","20","clarification: conclusion","support","andres.segura","2023-03-09 19:20:03"
"14","22","23","contrast: opposition","attack","andres.segura","2023-03-09 19:20:03"
"15","23","24","clarification: restatement","support","andres.segura","2023-03-09 19:20:03"
"16","24","25","contrast: opposition","attack","andres.segura","2023-03-09 19:20:03"
"17","27","28","elaboration: addition","support","andres.segura","2023-03-09 19:20:03"
"18","30","31","consequence: explanation","support","andres.segura","2023-03-09 19:20:03"
"19","30","32","consequence: explanation","support","andres.segura","2023-03-09 19:20:03"
"20","33","34","contrast: opposition","attack","andres.segura","2023-03-09 19:20:03"
"21","36","37","clarification: restatement","support","andres.segura","2023-03-09 19:20:03"
"22","38","39","clarification: conclusion","support","andres.segura","2023-03-09 19:20:03"
