"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","contrast: opposition","attack","andres.segura","2023-01-19 23:44:16"
"2","3","4","cause: reason","support","andres.segura","2023-01-19 23:44:16"
"3","5","6","elaboration: precision","support","andres.segura","2023-01-19 23:44:16"
"4","7","8","cause: condition","support","andres.segura","2023-01-19 23:44:16"
"5","9","10","clarification: exemplification","support","andres.segura","2023-01-19 23:44:16"
"6","9","11","contrast: concession","support","andres.segura","2023-01-19 23:44:16"
"7","11","12","contrast: opposition","attack","andres.segura","2023-01-19 23:44:16"
"8","9","13","elaboration: addition","support","andres.segura","2023-01-19 23:44:16"
"9","15","16","elaboration: precision","support","andres.segura","2023-01-19 23:44:16"
"10","24","25","contrast: concession","attack","andres.segura","2023-01-19 23:44:16"
"11","24","26","cause: condition","support","andres.segura","2023-01-19 23:44:16"
