"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","3","4","cause: reason","support","andres.segura","2023-03-13 18:21:40"
"2","6","7","elaboration: addition","support","andres.segura","2023-03-13 18:21:40"
"3","10","11","clarification: exemplification","support","andres.segura","2023-03-13 18:21:40"
"4","12","13","consequence: explanation","support","andres.segura","2023-03-13 18:21:40"
"5","12","14","elaboration: precision","support","andres.segura","2023-03-13 18:21:40"
"6","14","15","consequence: explanation","support","andres.segura","2023-03-13 18:21:40"
"7","12","16","clarification: conclusion","support","andres.segura","2023-03-13 18:21:40"
"8","17","18","clarification: conclusion","support","andres.segura","2023-03-13 18:21:40"
"9","19","20","contrast: alternative","attack","andres.segura","2023-03-13 18:21:40"
"10","21","22","contrast: comparison","support","andres.segura","2023-03-13 18:21:40"
