"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","4","5","contrast: opposition","attack","andres.segura","2023-01-16 22:11:26"
"2","6","7","contrast: opposition","attack","andres.segura","2023-01-16 22:11:26"
"3","6","8","cause: reason","support","andres.segura","2023-01-16 22:11:26"
"4","8","9","elaboration: addition","support","andres.segura","2023-01-16 22:11:26"
"5","8","10","elaboration: similarity","support","andres.segura","2023-01-16 22:11:26"
"6","13","14","consequence: result","support","andres.segura","2023-01-16 22:11:26"
"7","13","15","contrast: opposition","attack","andres.segura","2023-01-16 22:11:26"
"8","16","17","elaboration: addition","support","andres.segura","2023-01-16 22:11:26"
"9","18","19","elaboration: precision","support","andres.segura","2023-01-16 22:11:26"
"10","20","21","contrast: opposition","support","andres.segura","2023-01-16 22:11:26"
"11","22","23","cause: reason","support","andres.segura","2023-01-16 22:11:26"
"12","24","25","contrast: concession","support","andres.segura","2023-01-16 22:11:26"
"13","27","28","contrast: alternative","attack","andres.segura","2023-01-16 22:11:26"
"14","28","29","clarification: exemplification","support","andres.segura","2023-01-16 22:11:26"
