"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","1","2","consequence: explanation","support","andres.segura","2023-03-29 12:01:35"
"2","1","3","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"3","3","4","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"4","4","5","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"5","5","6","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"6","6","7","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"7","7","8","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"8","8","9","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"9","9","10","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"10","10","11","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"11","11","12","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"12","12","13","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"13","13","14","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"14","14","15","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"15","15","16","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"16","16","17","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"17","17","18","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"18","18","19","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"19","1","20","consequence: explanation","support","andres.segura","2023-03-29 12:01:35"
"20","20","21","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"21","20","22","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"22","1","23","consequence: goal","support","andres.segura","2023-03-29 12:01:35"
"23","23","24","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"24","23","25","elaboration: precision","support","andres.segura","2023-03-29 12:01:35"
"25","23","26","elaboration: addition","support","andres.segura","2023-03-29 12:01:35"
"26","29","30","contrast: opposition","attack","andres.segura","2023-03-29 12:01:35"
"27","30","31","contrast: alternative","attack","andres.segura","2023-03-29 12:01:35"
"28","33","34","contrast: concession","attack","andres.segura","2023-03-29 12:01:35"
"29","34","35","contrast: opposition","attack","andres.segura","2023-03-29 12:01:35"
"30","37","38","consequence: explanation","support","andres.segura","2023-03-29 12:01:35"
