"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","consequence: goal","support","andres.segura","2023-03-06 23:13:31"
"2","5","6","elaboration: addition","support","andres.segura","2023-03-06 23:13:31"
"3","9","10","contrast: concession","attack","andres.segura","2023-03-06 23:13:31"
"4","10","11","consequence: explanation","support","andres.segura","2023-03-06 23:13:31"
"5","9","12","cause: reason","support","andres.segura","2023-03-06 23:13:31"
"6","13","14","elaboration: similarity","support","andres.segura","2023-03-06 23:13:31"
"7","13","15","clarification: conclusion","support","andres.segura","2023-03-06 23:13:31"
"8","16","17","elaboration: addition","support","andres.segura","2023-03-06 23:13:31"
"9","20","21","contrast: concession","support","andres.segura","2023-03-06 23:13:31"
"10","21","22","contrast: opposition","attack","andres.segura","2023-03-06 23:13:31"
"11","25","26","cause: reason","support","andres.segura","2023-03-06 23:13:31"
"12","25","27","clarification: summary","support","andres.segura","2023-03-06 23:13:31"
"13","28","29","elaboration: precision","support","andres.segura","2023-03-06 23:13:31"
"14","28","30","clarification: conclusion","support","andres.segura","2023-03-06 23:13:31"
"15","31","32","elaboration: precision","support","andres.segura","2023-03-06 23:13:31"
"16","34","35","elaboration: addition","support","andres.segura","2023-03-06 23:13:31"
"17","34","36","clarification: conclusion","support","andres.segura","2023-03-06 23:13:31"
"18","38","39","consequence: explanation","support","andres.segura","2023-03-06 23:13:31"
"19","38","40","consequence: explanation","support","andres.segura","2023-03-06 23:13:31"
