"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","contrast: comparison","support","andres.segura","2023-03-29 11:31:35"
"2","5","6","contrast: alternative","attack","andres.segura","2023-03-29 11:31:35"
"3","5","7","clarification: conclusion","support","andres.segura","2023-03-29 11:31:35"
"4","10","11","consequence: explanation","support","andres.segura","2023-03-29 11:31:35"
"5","12","13","elaboration: addition","support","andres.segura","2023-03-29 11:31:35"
"6","14","15","elaboration: addition","support","andres.segura","2023-03-29 11:31:35"
"7","19","20","cause: reason","support","andres.segura","2023-03-29 11:31:35"
"8","21","22","contrast: alternative","attack","andres.segura","2023-03-29 11:31:35"
"9","24","25","elaboration: addition","support","andres.segura","2023-03-29 11:31:35"
"10","24","26","elaboration: addition","support","andres.segura","2023-03-29 11:31:35"
"11","29","30","consequence: explanation","support","andres.segura","2023-03-29 11:31:35"
"12","32","33","cause: reason","support","andres.segura","2023-03-29 11:31:35"
"13","32","34","elaboration: addition","support","andres.segura","2023-03-29 11:31:35"
"14","35","36","cause: condition","support","andres.segura","2023-03-29 11:31:35"
"15","37","38","cause: reason","support","andres.segura","2023-03-29 11:31:35"
