"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","cause: condition","support","andres.segura","2023-01-11 22:39:17"
"2","4","5","elaboration: addition","support","andres.segura","2023-01-11 22:39:17"
"3","6","7","cause: reason","support","andres.segura","2023-01-11 22:39:17"
"4","8","9","contrast: alternative","support","andres.segura","2023-01-11 22:39:17"
"5","8","10","contrast: concession","support","andres.segura","2023-01-11 22:39:17"
"6","10","11","elaboration: addition","support","andres.segura","2023-01-11 22:39:17"
"7","10","12","elaboration: addition","support","andres.segura","2023-01-11 22:39:17"
"8","16","14","elaboration: precision","support","andres.segura","2023-01-11 22:39:17"
"9","15","16","contrast: concession","support","andres.segura","2023-01-11 22:39:17"
"10","19","20","cause: reason","support","andres.segura","2023-01-11 22:39:17"
"11","21","22","cause: condition","support","andres.segura","2023-01-11 22:39:17"
"12","23","24","elaboration: precision","support","andres.segura","2023-01-11 22:39:17"
"13","23","25","elaboration: addition","support","andres.segura","2023-01-11 22:39:17"
